Keyword
"china coronavirus"
"corona Outbreak"
"coronavirus outbreak"
"Coronoavirus singapore"
"Fight COVID19"
"Novel Coronavirus"
"Wuhan Coronavirus"
"Wuhan virus"
2019_nCov
2019nCov
BeatCOVID19
corona
CoronaVid19
coronavirus
CoV2019
covid
covid_19
covid-19
COVIDー19
covid19
epidemic
nCoV
nCoV2019
outbreak
pandemic
SARS_CoV_2
SARSCoV2
Wuhan
"COVID-19 vaccin3"
"COVID19 vaccine"
"fuck vaccines"
"Get vaccinated"
"Global Vaccine Summit"
"Health freedom"
"medical freedom"
"No Forced Vaccination"
"Stop Forced Vaccination"
"Stop Mandatory Vaccination"
"Vaccine 4 All"
"Vaccine choice"
"vaccine damage"
"Vaccine death"
"vaccine failure"
"vaccine hesitancy"
"Vaccine hesitant"
"vaccine injury"
"vaccine protection"
"Vaccine truth"
"Vaccines Cause AIDs"
"Vaccines Cause Autism"
"Vaccines Cause Regressive Autism"
"Vaccines causes ids"
"vaccines dangers"
"vaccines kill and maim"
"Vaccines kill"
"Vaccines uncovered"
"vaccines work"
anti-flu-vaccine
anti-vacc
anti-vaccination
anti-vaccine
anti-vaccines
anti-vax
anti-vaxer
anti-vaxers
anti-vaxx
anti-vaxxer
anti-vaxxers
antivaccination
antivaccine
antivaccines
antivax
antivaxer
antivaxers
antivaxmovement
antivaxx
antivaxxer
antivaxxers
flushot
Freedom
immunizate
immunizated
immunizates
immunization
immunizations
jab
learntherisk
Moderna
Oxford
Pfizer
pre-vax
pro-immunization
pro-immunizations
pro-vaccination
pro-vaccine
pro-vaccines
pro-vax
pro-vaxer
pro-vaxers
pro-vaxx
pro-vaxxer
pro-vaxxers
provaccine
provaccines
RNA
Shot
Shots
Sinovac
Sputnik
unvaccinated
unvax
unvaxxed
"vacc schedule"
vacc'd
vacc'n
vaccdamage
vaccinate
vaccinated
vaccinater
vaccinates
vaccinateus
vaccinating
vaccination
vaccinations
Vaccine
Vaccines
vacines
Vaxer
VaXism
Vaxx
vaxxed
VaXXedII
Vaxxer
COVID19SG
SG
SGUnited
Singapore
Singaporean
Singaporeans
chinacoronavirus
coronaOutbreak
coronavirusoutbreak
coronoavirussingapore
FightCOVID19
NovelCoronavirus
WuhanCoronavirus
wuhanvirus
COVID19vaccine
fuckvaccines
getvaccinated
GlobalVaccineSummit
healthfreedom
medicalfreedom
NoForcedVaccination
StopForcedVaccination
StopMandatoryVaccination
Vaccine4All
vaccinechoice
vaccinedamage
vaccinedeath
vaccinefailure
vaccine-hesitant
vaccineinjury
vaccineprotection
vaccines
VaccinesCauseAIDs
VaccinesCauseAutism
VaccinesCauseRegressiveAutism
vaccinescausesids
vaccinesdangers
vaccineskill
vaccineskillandmaim
Vaccinesuncovered
vaccineswork
vaccinetruth
vaccschedule
vacine
vaxer
“vaccine apartheid”
"vaccine inequality"
"vaccine diplomacy"
